players,actions,min,max,mean,median,std,trials
2,2,8.3945003e7,1.45160952e8,1.0503264402083333e8,9.19064595e7,2.2281627028540634e7,48.0
2,4,8.3792164e7,1.47602382e8,1.090578867826087e8,1.019479575e8,1.921158158535629e7,46.0
4,4,8.6466095e7,1.43324698e8,1.12048154e8,1.05418011e8,1.7984392464167386e7,45.0
8,2,8.9562636e7,1.57478843e8,1.1483028018181819e8,1.01023661e8,2.37428404302966e7,44.0
4,2,8.9443982e7,1.75860562e8,1.1702804811363636e8,1.025165585e8,2.6233308133739028e7,44.0
64,2,9.0910885e7,1.70908227e8,1.1486701577272727e8,1.01278122e8,2.440965709753488e7,44.0
32,2,1.0997984e8,2.04311902e8,1.4327783877142859e8,1.28657093e8,2.943389821518439e7,35.0
128,2,9.951757e7,1.97680471e8,1.2991396992307693e8,1.20687106e8,2.7879580484382655e7,39.0
256,2,1.16370196e8,1.77065068e8,1.3610681254054055e8,1.23218515e8,2.2673568020174697e7,37.0
512,2,1.79757199e8,2.41542344e8,2.0328877344e8,1.94771417e8,2.1980457537989564e7,25.0
1024,2,1.03182069e8,1.84832245e8,1.26938865525e8,1.15467625e8,2.449875474792037e7,40.0
8,4,1.03502873e8,1.70602759e8,1.2976569756410256e8,1.1786342e8,2.216976242374172e7,39.0
16,4,1.21532764e8,1.94363373e8,1.4892563044117647e8,1.37291593e8,2.2391053941055685e7,34.0
32,4,2.12872079e8,2.40419358e8,2.2648953682608697e8,2.24827599e8,6.267470604012969e6,23.0
64,4,1.256297678e9,1.304287752e9,1.2736066255e9,1.266920536e9,2.1261694598400906e7,4.0
128,4,1.1208821229e10,1.1208821229e10,1.1208821229e10,1.1208821229e10,NaN,1.0
1024,4,NaN,NaN,NaN,NaN,NaN,0.0
2,6,1.0816902e8,1.72469073e8,1.3963439205405405e8,1.43092172e8,1.8789625579180572e7,37.0
4,6,1.09255263e8,1.77683941e8,1.4205626041666666e8,1.430355035e8,1.9534603993759677e7,36.0
8,6,1.27488792e8,1.78426921e8,1.5448802427272728e8,1.59779884e8,1.7385408579081677e7,33.0
16,6,7.54403829e8,7.7428781e8,7.639381054285715e8,7.63492696e8,7.703437026369785e6,7.0
32,6,1.1025605928e10,1.1025605928e10,1.1025605928e10,1.1025605928e10,NaN,1.0
256,4,1.01594500752e11,1.01594500752e11,1.01594500752e11,1.01594500752e11,NaN,1.0
128,6,NaN,NaN,NaN,NaN,NaN,0.0
256,6,NaN,NaN,NaN,NaN,NaN,0.0
512,6,NaN,NaN,NaN,NaN,NaN,0.0
1024,6,NaN,NaN,NaN,NaN,NaN,0.0
2,8,9.6049028e7,1.44810819e8,1.2139549302380952e8,1.24269005e8,1.4627234209427651e7,42.0
4,8,1.09969022e8,1.72508348e8,1.3858934064864865e8,1.40935896e8,1.6217927794503855e7,37.0
8,8,2.56210102e8,2.70358538e8,2.596825314e8,2.57866428e8,4.399066769009074e6,20.0
16,8,9.337225832e9,9.337225832e9,9.337225832e9,9.337225832e9,NaN,1.0
64,6,6.06517249091e11,6.06517249091e11,6.06517249091e11,6.06517249091e11,NaN,1.0
64,8,NaN,NaN,NaN,NaN,NaN,0.0
128,8,NaN,NaN,NaN,NaN,NaN,0.0
256,8,NaN,NaN,NaN,NaN,NaN,0.0
512,8,NaN,NaN,NaN,NaN,NaN,0.0
1024,8,NaN,NaN,NaN,NaN,NaN,0.0
512,4,7.52258180187e11,7.52258180187e11,7.52258180187e11,7.52258180187e11,NaN,1.0
32,8,9.33567427784e11,9.33567427784e11,9.33567427784e11,9.33567427784e11,NaN,1.0
16,2,7.3797461e7,1.25393587e8,9.376415875925925e7,8.2364057e7,1.8830599271867402e7,54.0
